,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
109,MobileNetV3,ImageNet,1,32,0,0.957,VGG,CIFAR-10,1,32,1,1.016,36.644,17.836,5478
110,MobileNetV3,ImageNet,1,32,1,1.003,VGG,CIFAR-10,1,32,0,1.004,41.178,20.219,5790
111,MobileNetV3,ImageNet,1,32,1,0.99,VGG,CIFAR-10,1,32,1,1.08,37.757,16.446,5194
112,MobileNetV3,ImageNet,1,32,0,1.113,VGG,CIFAR-10,1,64,0,1.093,57.066,34.882,6300
113,MobileNetV3,ImageNet,1,32,0,1.02,VGG,CIFAR-10,1,64,1,1.083,43.548,20.918,6304
114,MobileNetV3,ImageNet,1,32,1,0.998,VGG,CIFAR-10,1,64,0,1.06,54.108,30.108,5988
115,MobileNetV3,ImageNet,1,32,1,1.0,VGG,CIFAR-10,1,64,1,1.112,42.493,19.685,5992
116,MobileNetV3,ImageNet,1,32,0,1.032,VGG,CIFAR-10,1,128,0,1.028,58.829,37.474,6706
117,MobileNetV3,ImageNet,1,32,0,1.123,VGG,CIFAR-10,1,128,1,1.073,47.973,24.946,5382
118,MobileNetV3,ImageNet,1,32,1,1.057,VGG,CIFAR-10,1,128,0,1.026,54.13,33.623,6422
119,MobileNetV3,ImageNet,1,32,1,1.03,VGG,CIFAR-10,1,128,1,1.064,45.324,23.486,5070
120,MobileNetV3,ImageNet,1,64,0,0.943,VGG,CIFAR-10,1,32,0,1.039,52.392,27.946,6674
121,MobileNetV3,ImageNet,1,64,0,0.961,VGG,CIFAR-10,1,32,1,1.092,46.658,24.575,6050
122,MobileNetV3,ImageNet,1,64,1,0.944,VGG,CIFAR-10,1,32,0,1.016,46.753,22.315,6114
123,MobileNetV3,ImageNet,1,64,1,1.01,VGG,CIFAR-10,1,32,1,1.087,39.671,17.849,5490
124,MobileNetV3,ImageNet,1,64,0,0.823,VGG,CIFAR-10,1,64,0,0.995,60.387,32.613,6872
125,MobileNetV3,ImageNet,1,64,0,0.916,VGG,CIFAR-10,1,64,1,1.083,48.694,25.597,6876
126,MobileNetV3,ImageNet,1,64,1,0.994,VGG,CIFAR-10,1,64,0,1.09,56.919,30.716,6312
127,MobileNetV3,ImageNet,1,64,1,0.98,VGG,CIFAR-10,1,64,1,1.063,44.764,21.792,6316
128,MobileNetV3,ImageNet,1,64,0,0.727,VGG,CIFAR-10,1,128,0,1.08,65.053,38.118,7278
129,MobileNetV3,ImageNet,1,64,0,0.863,VGG,CIFAR-10,1,128,1,1.107,58.493,36.56,5954
130,MobileNetV3,ImageNet,1,64,1,0.967,VGG,CIFAR-10,1,128,0,0.95,57.447,32.842,6752
131,MobileNetV3,ImageNet,1,64,1,1.004,VGG,CIFAR-10,1,128,1,1.058,51.467,28.293,5394
132,MobileNetV3,ImageNet,1,128,0,0.759,VGG,CIFAR-10,1,32,0,0.974,53.122,27.027,7836
133,MobileNetV3,ImageNet,1,128,0,0.832,VGG,CIFAR-10,1,32,1,1.005,47.569,27.236,7212
134,MobileNetV3,ImageNet,1,128,1,0.867,VGG,CIFAR-10,1,32,0,1.033,53.712,26.849,6676
135,MobileNetV3,ImageNet,1,128,1,0.924,VGG,CIFAR-10,1,32,1,1.083,41.904,19.342,6000
136,MobileNetV3,ImageNet,1,128,0,0.718,VGG,CIFAR-10,1,64,0,1.043,64.868,36.5,8034
137,MobileNetV3,ImageNet,1,128,0,0.797,VGG,CIFAR-10,1,64,1,1.127,54.932,32.662,8038
138,MobileNetV3,ImageNet,1,128,1,0.802,VGG,CIFAR-10,1,64,0,1.064,62.5,32.947,6882
139,MobileNetV3,ImageNet,1,128,1,0.895,VGG,CIFAR-10,1,64,1,1.058,53.149,24.919,6928
140,MobileNetV3,ImageNet,1,128,0,0.638,VGG,CIFAR-10,1,128,0,0.992,64.421,40.132,8440
141,MobileNetV3,ImageNet,1,128,0,0.733,VGG,CIFAR-10,1,128,1,1.019,54.413,31.6,7116
142,MobileNetV3,ImageNet,1,128,1,0.681,VGG,CIFAR-10,1,128,0,0.995,60.158,35.263,7390
