job_id,priority
766867,10326
766868,10917
766869,10917
766870,10326
766871,10326
766872,34071
766873,10917
766874,12489
766875,34071
766876,10326
766877,10917
766878,10326
766879,10326
766880,10326
766882,12489
766883,10326
766884,10326
766885,10917
766886,12489
766887,10326
766888,10326
766889,12489
766890,10326
766891,38220
766892,10326
766893,10326
766894,10326
766896,31011
766897,15390
766898,10326
766899,10326
766900,10917
766901,10917
766902,10326
766904,10326
766905,10326
766906,12489
766907,10326
766908,10917
766909,10326
766910,10326
766911,10326
766912,12489
766913,10326
766914,10326
766915,10326
766916,10326
766917,10326
766918,10326
766919,10326
766920,10326
766921,10326
766922,10326
766923,10326
766924,10326
766925,10326
766926,10326
766927,12489
766928,15390
766929,10326
766930,10326
766931,10326
766932,10326
766933,10326
766934,10326
766936,10326
766937,10326
766938,10326
766941,10326
766942,10917
766944,10326
766946,10326
766947,27682
766948,10917
766951,27682
766953,12489
766955,10917
766956,10917
766958,10326
766959,10326
766961,10917
766962,10326
766963,10917
