job_id,priority
767233,6335
767235,6720
767234,2852
767236,6529
767239,134615
767241,273233
767243,3202
767245,1022
767246,2852
767247,3611
767250,1164
767251,6427
767252,-51
767253,298420
767254,7460
767255,2962
767257,3653
767259,4007
767260,17240
767261,1164
767262,178376
767264,1034
767267,8038
767268,121637
767269,4836
767271,15119
767272,6375
767273,4436
767274,2497
767275,10494
767277,7270
767279,6410
767281,2213
767280,3623
767282,4178
767283,259893
767284,6501
767285,-3651
767287,3698
767288,5247
767289,4187
767290,156563
767291,-166
767292,3475
767294,3638
767295,5180
767296,3980
767297,1405
767299,-224
767300,7051
767301,6540
767302,4198
767307,9842
767308,5897
767309,3843
767311,15410
767312,3640
767315,14899
767316,4199
767317,9205
767318,4361
767320,7016
767321,1473
767322,5173
767323,6396
767324,5000
767325,6396
767326,7782
767328,1083
767329,680
767330,389
767331,389
767333,3948
767332,2887
767334,16745
767335,10020
767336,3405
767337,11180
767338,3376
767339,2862
767341,1612
767342,3497
767343,3575
767344,9371
767345,680
767346,3087
767347,3640
767348,2232
767349,2862
767351,3169
767353,4260
767354,2205
767356,4457
767358,82
767359,361
767360,1405
767361,4862
767363,5217
767362,6904
767364,38697
767365,-1143
767366,3931
767367,4930
767368,2232
767369,1473
767370,3405
767371,3821
767372,202
767373,4507
767374,3733
767375,3139
767376,4320
767377,5269
767379,4291
767381,3796
767383,4616
767384,16141
767385,134958
767387,230230
767388,15956
767389,1612
767390,-3236
767391,1405
767392,806
767393,7562
767394,4489
767395,14991
767396,4309
767397,1179
767399,4592
767400,24553
767401,1376
767403,18189
767404,15777
767407,1688
767408,5663
767409,4945
767410,12399
767411,14969
767412,13206
767413,7970
767414,4335
767415,3506
767416,25287
767417,13088
767418,4345
767419,5167
767420,-2224
767421,-2533
767422,172
767423,162223
767424,149536
767425,17709
767426,4896
767428,5920
767429,4358
767430,4148
767431,4577
767433,5138
767434,2601
767435,1159
767436,1633
767437,-1895
767438,1482
767439,4091
767440,7650
767442,9212
767443,158277
767444,-1283
767445,159839
767446,5449
767448,4266
767450,25822
767451,4772
767452,1896
767453,-857
767454,2801
767455,714
767456,2422
767457,-4084
767458,2912
767459,-3368
767460,6251
767461,10293
767462,8497
767465,183393
767466,173607
767467,3438
767468,3392
767470,2407
767471,5789
767472,28048
767473,7553
767474,3093
767475,4639
767476,-2799
767478,7753
767479,33356
767480,2777
767481,3438
767482,-4278
767485,27823
767487,2912
767490,5743
767491,6697
767492,489
767493,-2799
767494,2877
767497,-3367
767499,5284
767501,5148
767502,2422
767503,2240
767504,4950
767506,7134
767505,-4266
767507,2360
767508,-2646
767510,2412
767509,-570
767512,27944
767514,3030
767515,513
767516,196
767517,31
767518,-768
767519,593
767521,4460
767522,1511
767524,2999
767525,6380
767526,3133
767527,-907
767528,3034
767529,3939
767530,3093
767531,3932
767532,425
767533,-1000
767534,2744
767535,-3315
767536,-1863
767537,-3314
767538,-3678
767539,-3314
767540,-3314
767541,-3372
767542,-2776
767543,-2602
767544,-3315
767545,-3372
767546,-3372
767547,-2799
767548,-2776
767549,-2602
767550,-2205
767551,-1605
767552,-2602
767553,2064
767554,-695
767555,-3898
767556,-412
767557,-2825
767558,-3372
767559,1706
767560,75
767561,-3678
767562,-2825
767563,-3801
767564,-1854
767565,-3468
767566,-3315
767567,8557
767568,-2799
767569,-3314
767571,7758
767570,-3372
767572,-970
767573,7841
767574,-1910
767575,8997
767576,-1919
767577,75
767578,7758
767579,-3314
767580,-2776
767581,-3315
767582,3030
